# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
78:75:3e,Apple,Apple,
78:78:26,HuaweiTechno,华为,
78:79:84,Apple,Apple,
78:7b:8a,Apple,Apple,
78:7e:42,zte,中兴,
78:7e:61,Apple,Apple,
78:83:71,HuaweiTechno,华为,
78:84:3c,Sony,Sony / 索尼,
78:85:f4,HuaweiDevice,华为,
78:88:6d,Apple,Apple,
78:8a:20,Ubiquiti,Ubiquiti,router
78:8c:b5,TPLink,TP-Link,router
78:90:a2,zte,中兴,
78:96:0d,Apple,Apple,
78:96:6e,HuaweiDevice,华为,
78:96:82,zte,中兴,
78:99:87,XiaomiCommun,小米,
78:9e:d0,SamsungElect,Samsung / 三星,
78:9f:70,Apple,Apple,
78:9f:aa,HuaweiDevice,华为,
78:a1:06,TpLinkTechno,TP-Link,router
78:a3:e4,Apple,Apple,
78:a6:a0,EzvizSoftwar,萤石,camera
78:a7:c7,Apple,Apple,
78:a8:73,SamsungElect,Samsung / 三星,
78:ab:bb,SamsungElect,Samsung / 三星,
78:b4:6a,HuaweiTechno,华为,
78:b5:54,HuaweiDevice,华为,
78:b5:f2,HuaweiTechno,华为,
78:b6:fe,SamsungElect,Samsung / 三星,
78:bd:bc,SamsungElect,Samsung / 三星,
78:c0:5a,TPLink,TP-Link,router
78:c1:1d,SamsungElect,Samsung / 三星,
78:c1:a7,zte,中兴,
78:c1:ae,EzvizSoftwar,萤石,camera
78:c3:e9,SamsungElect,Samsung / 三星,
78:c5:f8,HuaweiDevice,华为,
78:c8:84,HuaweiDevice,华为,
78:ca:39,Apple,Apple,
78:cf:2f,HuaweiTechno,华为,
78:cf:f9,HuaweiDevice,华为,
78:d1:62,Apple,Apple,
78:d2:94,Netgear,NETGEAR,router
78:d6:f0,SamsungElect,Samsung / 三星,
78:d7:52,HuaweiTechno,华为,
78:d7:5f,Apple,Apple,
78:d8:40,XiaomiCommun,小米,
78:da:af,HuaweiTechno,华为,
78:dc:87,HuaweiTechno,华为,
78:dd:33,HuaweiTechno,华为,
78:e0:c5,SamsungElect,Samsung / 三星,
78:e2:2c,HuaweiDevice,华为,
78:e3:6d,Espressif,Espressif / 乐鑫,
78:e3:de,Apple,Apple,
78:e6:1c,HonorDevice,荣耀,
78:e8:b6,zte,中兴,
78:eb:46,HuaweiTechno,华为,
78:ed:bc,OnePlusTechn,一加,
78:ee:4c,Espressif,Espressif / 乐鑫,
78:f0:9b,HuaweiDevice,华为,
78:f2:38,SamsungElect,Samsung / 三星,
78:f5:57,HuaweiTechno,华为,
78:f5:fd,HuaweiTechno,华为,
78:f7:be,SamsungElect,Samsung / 三星,
78:fb:d8,Apple,Apple,
78:fd:94,Apple,Apple,
7c:00:4d,HuaweiTechno,华为,
7c:01:91,Apple,Apple,
7c:03:5e,XiaomiCommun,小米,
7c:03:ab,XiaomiCommun,小米,
7c:04:d0,Apple,Apple,
7c:0a:3f,SamsungElect,Samsung / 三星,
7c:0b:c6,SamsungElect,Samsung / 三星,
7c:0c:5f,Espressif,Espressif / 乐鑫,
7c:0c:f1,XiaomiMobile,小米,
7c:0c:fa,HuaweiTechno,华为,
7c:10:c9,ASUSTekCOMPU,华硕,router
7c:11:be,Apple,Apple,
7c:11:cb,HuaweiTechno,华为,
7c:16:2a,HuaweiDevice,华为,
7c:19:60,HuaweiTechno,华为,
7c:19:e3,Google,Google,speaker
7c:1a:c0,HuaweiTechno,华为,
7c:1b:93,HuaweiDevice,华为,
7c:1c:68,SamsungElect,Samsung / 三星,
7c:1c:f1,HuaweiTechno,华为,
7c:1d:d9,XiaomiCommun,小米,
7c:23:02,SamsungElect,Samsung / 三星,
7c:24:99,Apple,Apple,
7c:29:6f,Apple,Apple,
7c:2a:ca,Apple,Apple,
7c:2a:db,XiaomiCommun,小米,
7c:2c:67,Espressif,Espressif / 乐鑫,
7c:2e:bd,Google,Google,speaker
7c:2e:dd,SamsungElect,Samsung / 三星,
7c:33:f9,HuaweiTechno,华为,
7c:36:26,HuaweiTechno,华为,
7c:38:ad,SamsungElect,Samsung / 三星,
7c:39:53,zte,中兴,
7c:39:85,HuaweiTechno,华为,
7c:3b:2d,Apple,Apple,
7c:3d:2b,HuaweiDevice,华为,
7c:3e:74,HuaweiDevice,华为,
7c:49:eb,XIAOMIElectr,小米,
7c:4b:26,Apple,Apple,
7c:4e:09,SkyworthWire,创维,tv
7c:4f:ad,Espressif,Espressif / 乐鑫,
7c:4f:cd,Apple,Apple,
7c:50:49,Apple,Apple,
7c:59:b1,Apple,Apple,
7c:60:97,HuaweiTechno,华为,
7c:60:db,zte,中兴,
7c:61:30,Apple,Apple,
7c:64:56,SamsungElect,Samsung / 三星,
7c:66:9a,HuaweiTechno,华为,
7c:68:b9,HuaweiDevice,华为,
7c:69:2b,HuaweiTechno,华为,
7c:6d:62,Apple,Apple,
7c:6d:f8,Apple,Apple,
7c:73:98,Espressif,Espressif / 乐鑫,
7c:73:eb,HuaweiDevice,华为,
7c:75:2d,SamsungElect,Samsung / 三星,
7c:76:68,HuaweiTechno,华为,
7c:78:7e,SamsungElect,Samsung / 三星,
7c:7b:bf,SamsungElect,Samsung / 三星,
7c:7d:21,zte,中兴,
7c:7d:3d,HuaweiTechno,华为,
7c:85:2f,HuaweiDevice,华为,
7c:87:ce,Espressif,Espressif / 乐鑫,
7c:89:31,HuaweiDevice,华为,
7c:89:56,SamsungElect,Samsung / 三星,
7c:8b:b5,SamsungElect,Samsung / 三星,
7c:8b:ca,TpLinkTechno,TP-Link,router
7c:91:22,SamsungElect,Samsung / 三星,
7c:94:2a,HuaweiTechno,华为,
7c:94:b2,PhilipsHealt,Signify / 飞利浦,bulb
7c:97:e1,HuaweiDevice,华为,
7c:9a:1d,Apple,Apple,
7c:9e:bd,Espressif,Espressif / 乐鑫,
7c:a1:77,HuaweiTechno,华为,
7c:a1:ae,Apple,Apple,
7c:a2:3e,HuaweiTechno,华为,
7c:a4:49,XiaomiCommun,小米,
7c:ab:60,Apple,Apple,
7c:b0:73,RealmeChongq,realme,
7c:b1:5d,HuaweiTechno,华为,
7c:b3:0a,zte,中兴,
7c:b5:9b,TpLinkTechno,TP-Link,router
7c:b5:9f,HuaweiTechno,华为,
7c:c0:6f,Apple,Apple,
7c:c1:80,Apple,Apple,
7c:c2:25,SamsungElect,Samsung / 三星,
7c:c2:94,XiaomiMobile,小米,
7c:c2:c6,TPLink,TP-Link,router
7c:c3:85,HuaweiTechno,华为,
7c:c3:a1,Apple,Apple,
7c:c5:37,Apple,Apple,
7c:c8:82,HuaweiTechno,华为,
7c:c8:df,Apple,Apple,
7c:d1:ad,Apple,Apple,
7c:d1:c3,Apple,Apple,
7c:d2:da,Apple,Apple,
7c:d3:e5,HuaweiTechno,华为,
7c:d5:44,Espressif,Espressif / 乐鑫,
7c:d6:2c,Apple,Apple,
7c:d6:61,XiaomiCommun,小米,
7c:d9:5c,Google,Google,speaker
7c:d9:a0,HuaweiTechno,华为,
7c:dc:73,HuaweiTechno,华为,
7c:df:a1,Espressif,Espressif / 乐鑫,
7c:e5:3f,HuaweiTechno,华为,
7c:e8:b1,Espressif,Espressif / 乐鑫,
7c:ec:b1,Apple,Apple,
7c:f0:5f,Apple,Apple,
7c:f0:e5,OnePlusTechn,一加,
7c:f1:7e,TPLink,TP-Link,router
7c:f3:4d,Apple,Apple,
7c:f8:54,SamsungElect,Samsung / 三星,
7c:f9:0e,SamsungElect,Samsung / 三星,
7c:fa:d6,RealmeChongq,realme,
7c:fa:df,Apple,Apple,
7c:fc:16,Apple,Apple,
7c:fd:6b,XiaomiCommun,小米,
80:00:6e,Apple,Apple,
80:04:5f,Apple,Apple,
80:05:18,HuaweiTechno,华为,
80:06:d9,zte,中兴,
80:07:94,SamsungElect,Samsung / 三星,
80:0c:67,Apple,Apple,
80:0d:3f,SamsungElect,Samsung / 三星,
80:12:42,Apple,Apple,
80:13:82,HuaweiTechno,华为,
80:18:a7,SamsungElect,Samsung / 三星,
80:19:70,SamsungElect,Samsung / 三星,
80:1d:39,Apple,Apple,
80:20:fd,SamsungElect,Samsung / 三星,
80:2a:13,RealmeChongq,realme,
80:2a:a8,Ubiquiti,Ubiquiti,router
80:2a:f6,HonorDevice,荣耀,
80:2d:1a,zte,中兴,
80:2e:c3,HuaweiTechno,华为,
80:2e:de,HuaweiDevice,华为,
80:31:f0,SamsungElect,Samsung / 三星,
80:35:c1,XiaomiCommun,小米,
80:37:73,Netgear,NETGEAR,router
80:38:bc,HuaweiTechno,华为,
80:39:8c,SamsungElect,Samsung / 三星,
80:3c:04,TPLink,TP-Link,router
80:3c:20,HuaweiTechno,华为,
80:3f:d4,Apple,Apple,
80:41:26,HuaweiTechno,华为,
80:45:6b,Espressif,Espressif / 乐鑫,
80:47:15,Apple,Apple,
80:47:86,SamsungElect,Samsung / 三星,
80:48:9f,HikvisionDig,海康威视,camera
80:49:71,Apple,Apple,
80:4a:14,Apple,Apple,
80:4d:cb,HuaweiDevice,华为,
80:4e:70,SamsungElect,Samsung / 三星,
80:4e:81,SamsungElect,Samsung / 三星,
80:53:e0,Espressif,Espressif / 乐鑫,
80:54:2d,SamsungElect,Samsung / 三星,
80:54:9c,SamsungElect,Samsung / 三星,
80:54:d9,HuaweiTechno,华为,
80:54:e3,Apple,Apple,
80:57:19,SamsungElect,Samsung / 三星,
80:5f:c5,Apple,Apple,
80:60:36,HuaweiTechno,华为,
80:64:6f,Espressif,Espressif / 乐鑫,
80:65:6d,SamsungElect,Samsung / 三星,
80:65:7c,Apple,Apple,
80:65:99,Espressif,Espressif / 乐鑫,
80:69:33,HuaweiTechno,华为,
80:6f:1c,HuaweiDevice,华为,
80:71:7a,HuaweiTechno,华为,
80:72:64,HuaweiDevice,华为,
80:75:bf,SamsungElect,Samsung / 三星,
80:7b:3e,SamsungElect,Samsung / 三星,
80:7c:0a,zte,中兴,
80:7c:62,HikvisionDig,海康威视,camera
80:7d:14,HuaweiTechno,华为,
80:7d:3a,Espressif,Espressif / 乐鑫,
80:82:23,Apple,Apple,
80:83:f6,Apple,Apple,
80:86:d9,SamsungElect,Samsung / 三星,
80:88:00,zte,中兴,
80:89:17,TpLinkTechno,TP-Link,router
80:89:43,SamsungElect,Samsung / 三星,
80:8a:bd,SamsungElect,Samsung / 三星,
80:8f:1d,TpLinkTechno,TP-Link,router
80:8f:97,XiaomiCommun,小米,
80:92:9f,Apple,Apple,
80:95:3a,Apple,Apple,
80:96:98,Apple,Apple,
80:99:e7,Sony,Sony / 索尼,
80:9f:f5,SamsungElect,Samsung / 三星,
80:a9:97,Apple,Apple,
80:ad:16,XiaomiCommun,小米,
80:ae:54,TpLinkTechno,TP-Link,router
80:af:19,Apple,Apple,
80:b0:3d,Apple,Apple,
80:b0:7b,zte,中兴,
80:b5:4e,Espressif,Espressif / 乐鑫,
80:b5:75,HuaweiTechno,华为,
80:b6:86,HuaweiTechno,华为,
80:b8:2a,RealmeChongq,realme,
80:b9:89,Apple,Apple,
80:be:05,Apple,Apple,
80:be:af,HikvisionDig,海康威视,camera
80:cc:12,HuaweiDevice,华为,
80:cc:9c,Netgear,NETGEAR,router
80:ce:b9,SamsungElect,Samsung / 三星,
80:cf:a2,HuaweiDevice,华为,
80:d0:9b,HuaweiTechno,华为,
80:d1:ce,Apple,Apple,
80:d4:a5,HuaweiTechno,华为,
80:d6:05,Apple,Apple,
80:da:ce,HuaweiDevice,华为,
80:e1:bf,HuaweiTechno,华为,
80:e6:3c,XiaomiCommun,小米,
80:e6:50,Apple,Apple,
80:e7:69,RealmeChongq,realme,
80:e8:a4,zte,中兴,
80:ea:07,TpLinkTechno,TP-Link,router
80:ea:96,Apple,Apple,
80:ed:2c,Apple,Apple,
80:ee:25,SkyworthDigi,创维,tv
80:f1:a4,HuaweiTechno,华为,
80:f1:b2,Espressif,Espressif / 乐鑫,
80:f3:da,Espressif,Espressif / 乐鑫,
80:f5:ae,HikvisionDig,海康威视,camera
80:fb:06,HuaweiTechno,华为,
84:00:d2,Sony,Sony / 索尼,
84:01:6e,HonorDevice,荣耀,
84:05:11,Apple,Apple,
84:0b:2d,SamsungElect,Samsung / 三星,
84:0d:8e,Espressif,Espressif / 乐鑫,
84:0f:4c,Apple,Apple,
84:11:9e,SamsungElect,Samsung / 三星,
84:13:9f,zte,中兴,
84:15:d3,HuaweiTechno,华为,
84:16:23,zte,中兴,
84:16:f9,TpLinkTechno,TP-Link,router
84:19:85,SamsungElect,Samsung / 三星,
84:1b:5e,Netgear,NETGEAR,router
84:1c:70,zte,中兴,
84:1f:e8,Espressif,Espressif / 乐鑫,
84:21:f1,HuaweiTechno,华为,
84:22:89,SamsungElect,Samsung / 三星,
84:25:19,SamsungElect,Samsung / 三星,
84:25:db,SamsungElect,Samsung / 三星,
84:27:89,Apple,Apple,
84:29:99,Apple,Apple,
84:2e:27,SamsungElect,Samsung / 三星,
84:2f:57,Apple,Apple,
84:37:d5,SamsungElect,Samsung / 三星,
84:38:35,Apple,Apple,
84:38:38,SamsungElect,Samsung / 三星,
84:3c:99,zte,中兴,
84:3c:fc,HuaweiTechno,华为,
84:3e:92,HuaweiTechno,华为,
84:41:67,Apple,Apple,
84:46:93,XiaomiMobile,小米,
84:46:fe,HuaweiTechno,华为,
84:47:65,HuaweiTechno,华为,
84:50:75,HuaweiDevice,华为,
84:51:81,SamsungElect,Samsung / 三星,
84:54:df,HuaweiDevice,华为,
84:55:a5,SamsungElect,Samsung / 三星,
84:5b:12,HuaweiTechno,华为,
84:5f:04,SamsungElect,Samsung / 三星,
84:64:dd,HuaweiTechno,华为,
84:68:78,Apple,Apple,
84:71:6a,HuaweiDevice,华为,
84:74:2a,zte,中兴,
84:74:60,zte,中兴,
84:76:37,HuaweiTechno,华为,
84:78:48,Ubiquiti,Ubiquiti,router
84:78:8b,Apple,Apple,
84:85:06,Apple,Apple,
84:87:ff,SkyworthDigi,创维,tv
84:88:e1,Apple,Apple,
84:89:ad,Apple,Apple,
84:8c:8d,Apple,Apple,
84:8e:0c,Apple,Apple,
84:8e:df,Sony,Sony / 索尼,
84:92:e5,HuaweiTechno,华为,
84:93:a0,HuaweiDevice,华为,
84:93:b2,zte,中兴,
84:94:37,Apple,Apple,
84:94:59,HikvisionDig,海康威视,camera
84:98:66,SamsungElect,Samsung / 三星,
84:9a:40,HikvisionDig,海康威视,camera
84:9f:b5,HuaweiTechno,华为,
84:a1:34,Apple,Apple,
84:a1:b7,HonorDevice,荣耀,
84:a4:66,SamsungElect,Samsung / 三星,
84:a8:24,Google,Google,speaker
84:a8:e4,HuaweiTechno,华为,
84:a9:c4,HuaweiTechno,华为,
84:ab:1a,Apple,Apple,
84:ac:16,Apple,Apple,
84:ad:58,HuaweiTechno,华为,
84:ad:8d,Apple,Apple,
84:ae:de,XiaomiCommun,小米,
84:b1:53,Apple,Apple,
84:b1:e4,Apple,Apple,
84:b5:41,SamsungElect,Samsung / 三星,
84:b8:90,TpLinkTechno,TP-Link,router
84:be:52,HuaweiTechno,华为,
84:c0:ef,SamsungElect,Samsung / 三星,
84:c7:bb,Espressif,Espressif / 乐鑫,
84:c7:ea,Sony,Sony / 索尼,
84:cc:63,HuaweiDevice,华为,
84:cc:a8,Espressif,Espressif / 乐鑫,
84:d3:28,Apple,Apple,
84:d3:d5,HuaweiDevice,华为,
84:d7:de,HuaweiTechno,华为,
84:d8:1b,TpLinkTechno,TP-Link,router
84:db:a4,HuaweiDevice,华为,
84:db:ac,HuaweiTechno,华为,
84:e9:86,HuaweiDevice,华为,
84:e9:c1,RealmeChongq,realme,
84:ee:7f,HuaweiTechno,华为,
84:ee:e4,SamsungElect,Samsung / 三星,
84:f2:c1,zte,中兴,
84:f3:eb,Espressif,Espressif / 乐鑫,
84:f5:eb,zte,中兴,
84:f7:03,Espressif,Espressif / 乐鑫,
84:fc:ac,Apple,Apple,
84:fc:e6,Espressif,Espressif / 乐鑫,
84:fc:fe,Apple,Apple,
84:fe:40,HuaweiTechno,华为,
88:10:32,Apple,Apple,
88:10:8f,HuaweiTechno,华为,
88:11:96,HuaweiTechno,华为,
88:13:bf,Espressif,Espressif / 乐鑫,
88:15:66,HuaweiDevice,华为,
88:15:c5,HuaweiDevice,华为,
88:17:a8,Apple,Apple,
88:19:08,Apple,Apple,
88:1e:5a,Apple,Apple,
88:1f:a1,Apple,Apple,
88:20:0d,Apple,Apple,
88:25:93,TpLinkTechno,TP-Link,router
88:28:b3,HuaweiTechno,华为,
88:29:9c,SamsungElect,Samsung / 三星,
88:2f:92,XiaomiCommun,小米,
88:32:9b,SamsungElect,Samsung / 三星,
88:36:cf,HuaweiDevice,华为,
88:3c:1c,Mercury,水星 / Mercury,router
88:3d:24,Google,Google,speaker
88:3f:27,HuaweiDevice,华为,
88:3f:d3,HuaweiTechno,华为,
88:40:33,HuaweiTechno,华为,
88:40:3b,HuaweiTechno,华为,
88:44:77,HuaweiTechno,华为,
88:46:04,XiaomiCommun,小米,
88:4d:7c,Apple,Apple,
88:51:f2,Apple,Apple,
88:52:eb,XiaomiCommun,小米,
88:53:95,Apple,Apple,
88:53:d4,HuaweiTechno,华为,
88:54:1f,Google,Google,speaker
88:56:a6,Espressif,Espressif / 乐鑫,
88:57:21,Espressif,Espressif / 乐鑫,
88:5d:fb,zte,中兴,
88:5e:54,SamsungElect,Samsung / 三星,
88:63:c5,HuaweiTechno,华为,
88:63:df,Apple,Apple,
88:64:40,Apple,Apple,
88:66:39,HuaweiTechno,华为,
88:66:5a,Apple,Apple,
88:66:a5,Apple,Apple,
88:67:dc,HuaweiTechno,华为,
88:69:3d,HuaweiTechno,华为,
88:6b:6e,Apple,Apple,
88:6b:db,Apple,Apple,
88:6c:60,XiaomiCommun,小米,
88:6d:2d,HuaweiDevice,华为,
88:6e:eb,HuaweiTechno,华为,
88:70:15,Apple,Apple,
88:74:77,HuaweiTechno,华为,
88:75:98,SamsungElect,Samsung / 三星,
88:79:5b,KonkaGroup,康佳,tv
88:7b:2c,zte,中兴,
88:7e:9b,Apple,Apple,
88:7f:d5,zte,中兴,
88:81:b9,HuaweiDevice,华为,
88:83:22,SamsungElect,Samsung / 三星,
88:86:03,HuaweiTechno,华为,
88:89:2f,HuaweiTechno,华为,
88:8e:68,HuaweiDevice,华为,
88:8f:a4,HuaweiDevice,华为,
88:99:86,TpLinkTechno,TP-Link,router
88:9b:39,SamsungElect,Samsung / 三星,
88:9e:96,zte,中兴,
88:9f:6f,SamsungElect,Samsung / 三星,
88:a0:be,HuaweiTechno,华为,
88:a2:9e,RaspberryPi,Raspberry Pi,
88:a2:d7,HuaweiTechno,华为,
88:a3:03,SamsungElect,Samsung / 三星,
88:a4:79,Apple,Apple,
88:a9:b7,Apple,Apple,
88:ad:d2,SamsungElect,Samsung / 三星,
88:ae:07,Apple,Apple,
88:ae:35,RealmeChongq,realme,
88:b2:91,Apple,Apple,
88:b4:be,HuaweiTechno,华为,
88:b7:eb,Apple,Apple,
88:b8:63,HisenseVisua,海信,tv
88:b9:45,Apple,Apple,
88:b9:51,XiaomiCommun,小米,
88:bc:c1,HuaweiTechno,华为,
88:bd:45,SamsungElect,Samsung / 三星,
88:bf:e4,HuaweiTechno,华为,
88:c0:8b,Apple,Apple,
88:c1:74,zte,中兴,
88:c2:27,HuaweiTechno,华为,
88:c3:44,Google,Google,speaker
88:c3:97,XiaomiMobile,小米,
88:c6:63,Apple,Apple,
88:c6:e8,HuaweiTechno,华为,
88:c7:8f,zte,中兴,
88:c9:e8,Sony,Sony / 索尼,
88:cb:87,Apple,Apple,
88:cc:45,SkyworthDigi,创维,tv
88:ce:3f,HuaweiTechno,华为,
88:ce:fa,HuaweiTechno,华为,
88:cf:98,HuaweiTechno,华为,
88:d2:74,zte,中兴,
88:d5:46,Apple,Apple,
88:d7:f6,ASUSTekCOMPU,华硕,router
88:da:04,HuaweiTechno,华为,
88:dd:b8,HuaweiDevice,华为,
88:de:39,HikvisionDig,海康威视,camera
88:e0:56,HuaweiTechno,华为,
88:e3:ab,HuaweiTechno,华为,
88:e8:7f,Apple,Apple,
88:e9:fe,Apple,Apple,
88:f1:55,Espressif,Espressif / 乐鑫,
88:f2:ce,Apple,Apple,
88:f5:6e,HuaweiTechno,华为,
88:f6:dc,HuaweiDevice,华为,
88:f8:72,HuaweiTechno,华为,
8c:00:6d,Apple,Apple,
8c:05:72,HuaweiDevice,华为,
8c:08:aa,Apple,Apple,
8c:0d:76,HuaweiTechno,华为,
8c:0f:c9,HuaweiDevice,华为,
8c:14:b4,zte,中兴,
8c:15:c7,HuaweiTechno,华为,
8c:17:b6,HuaweiDevice,华为,
8c:18:01,zte,中兴,
8c:1a:bf,SamsungElect,Samsung / 三星,
8c:21:0a,TpLinkTechno,TP-Link,router
8c:21:14,HuaweiDevice,华为,
8c:22:d2,HikvisionDig,海康威视,camera
8c:25:05,HuaweiTechno,华为,
8c:26:aa,Apple,Apple,
8c:29:37,Apple,Apple,
8c:2d:aa,Apple,Apple,
8c:2e:72,SamsungElect,Samsung / 三星,
8c:30:66,Ubiquiti,Ubiquiti,router
8c:33:96,Apple,Apple,
8c:34:46,HuaweiDevice,华为,
8c:34:fd,HuaweiTechno,华为,
8c:3b:ad,Netgear,NETGEAR,router
8c:42:6d,HuaweiTechno,华为,
8c:4b:14,Espressif,Espressif / 乐鑫,
8c:4f:00,Espressif,Espressif / 乐鑫,
8c:53:c3,XiaomiMobile,小米,
8c:58:77,Apple,Apple,
8c:5a:c1,HuaweiDevice,华为,
8c:5a:f8,XiaomiElectr,小米,
8c:5e:bd,HuaweiDevice,华为,
8c:64:22,Sony,Sony / 索尼,
8c:64:a2,OnePlusTechn,一加,
8c:68:3a,HuaweiTechno,华为,
8c:68:c8,zte,中兴,
8c:6a:3b,SamsungElect,Samsung / 三星,
8c:6b:db,HuaweiDevice,华为,
8c:6d:77,HuaweiTechno,华为,
8c:71:f8,SamsungElect,Samsung / 三星,
8c:77:12,SamsungElect,Samsung / 三星,
8c:79:67,zte,中兴,
8c:79:f5,SamsungElect,Samsung / 三星,
8c:7a:3d,XiaomiCommun,小米,
8c:7a:aa,Apple,Apple,
8c:7b:9d,Apple,Apple,
8c:7c:92,Apple,Apple,
8c:82:83,Apple,Apple,
8c:83:e1,SamsungElect,Samsung / 三星,
8c:83:e8,HuaweiTechno,华为,
8c:85:90,Apple,Apple,
8c:86:1e,Apple,Apple,
8c:86:2a,HuaweiTechno,华为,
8c:86:dd,TPLink,TP-Link,router
8c:8a:cd,HuaweiTechno,华为,
8c:8c:29,Espressif,Espressif / 乐鑫,
8c:8e:0d,zte,中兴,
8c:8e:f2,Apple,Apple,
8c:8f:e9,Apple,Apple,
8c:90:2d,TPLink,TP-Link,router
8c:91:a4,Apple,Apple,
8c:93:8b,RealmeChongq,realme,
8c:94:df,Espressif,Espressif / 乐鑫,
8c:98:6b,Apple,Apple,
8c:98:85,SamsungElect,Samsung / 三星,
8c:a2:f5,HuaweiDevice,华为,
8c:a3:ec,SamsungElect,Samsung / 三星,
8c:a5:cf,HuaweiTechno,华为,
8c:a6:df,TpLinkTechno,TP-Link,router
8c:a9:6d,HuaweiTechno,华为,
8c:aa:b5,Espressif,Espressif / 乐鑫,
8c:aa:ce,XiaomiCommun,小米,
8c:b0:e9,SamsungElect,Samsung / 三星,
8c:b8:4a,SamsungElect,Samsung / 三星,
8c:be:be,XiaomiCommun,小米,
8c:bf:a6,SamsungElect,Samsung / 三星,
8c:bf:ea,Espressif,Espressif / 乐鑫,
8c:c2:46,Apple,Apple,
8c:c5:d0,SamsungElect,Samsung / 三星,
8c:c5:e1,KonkaTelecom,康佳,tv
8c:c8:cd,SamsungElect,Samsung / 三星,
8c:c9:e9,HuaweiDevice,华为,
8c:ce:4e,Espressif,Espressif / 乐鑫,
8c:d0:b2,XiaomiMobile,小米,
8c:d9:d6,XiaomiCommun,小米,
8c:dc:02,zte,中兴,
8c:de:e6,SamsungElect,Samsung / 三星,
8c:de:f9,XiaomiMobile,小米,
8c:e0:81,zte,中兴,
8c:e1:17,zte,中兴,
8c:e5:c0,SamsungElect,Samsung / 三星,
8c:e5:ef,HuaweiTechno,华为,
8c:e7:48,HikvisionDig,海康威视,camera
8c:ea:48,SamsungElect,Samsung / 三星,
8c:eb:c6,HuaweiTechno,华为,
8c:ec:7b,Apple,Apple,
8c:ed:e1,Ubiquiti,Ubiquiti,router
8c:ee:fd,zte,中兴,
8c:f2:28,MercuryCommu,水星 / Mercury,router
8c:f5:a3,SamsungElect,Samsung / 三星,
8c:fa:ba,Apple,Apple,
8c:fa:dd,HuaweiTechno,华为,
8c:fd:18,HuaweiTechno,华为,
8c:fd:49,Espressif,Espressif / 乐鑫,
8c:fe:57,Apple,Apple,
90:00:db,SamsungElect,Samsung / 三星,
90:01:17,HuaweiTechno,华为,
90:03:25,HuaweiTechno,华为,
90:06:28,SamsungElect,Samsung / 三星,
90:06:db,HuaweiTechno,华为,
90:0a:48,SamsungElect,Samsung / 三星,
90:0c:c8,Google,Google,speaker
90:15:06,Espressif,Espressif / 乐鑫,
90:16:ba,HuaweiTechno,华为,
90:17:3f,HuaweiTechno,华为,
90:17:ac,HuaweiTechno,华为,
90:17:c8,HuaweiTechno,华为,
90:18:7c,SamsungElect,Samsung / 三星,
90:1d:27,zte,中兴,
90:1f:94,TPLink,TP-Link,router
90:25:f2,HuaweiTechno,华为,
90:27:e4,Apple,Apple,
90:2a:ee,XiaomiCommun,小米,
90:2b:d2,HuaweiTechno,华为,
90:2c:09,Apple,Apple,
90:35:a2,Apple,Apple,
90:38:0c,Espressif,Espressif / 乐鑫,
90:3c:1d,HisenseVisua,海信,tv
90:3c:92,Apple,Apple,
90:3f:c3,HuaweiDevice,华为,
90:3f:ea,HuaweiTechno,华为,
90:41:b2,Ubiquiti,Ubiquiti,router
90:4c:c5,Apple,Apple,
90:4d:e2,Apple,Apple,
90:4e:2b,HuaweiTechno,华为,
90:5e:44,HuaweiTechno,华为,
90:5f:7a,Apple,Apple,
90:60:f1,Apple,Apple,
90:62:3f,Apple,Apple,
90:63:3b,SamsungElect,Samsung / 三星,
90:64:9b,Espressif,Espressif / 乐鑫,
90:64:ad,HuaweiTechno,华为,
90:67:1c,HuaweiTechno,华为,
90:69:89,SamsungElect,Samsung / 三星,
90:70:69,Espressif,Espressif / 乐鑫,
90:72:40,Apple,Apple,
90:74:f2,HuaweiTechno,华为,
90:76:9f,MercuryCommu,水星 / Mercury,router
90:78:b2,XiaomiCommun,小米,
90:79:cf,zte,中兴,
90:7e:43,zte,中兴,
90:80:8f,HuaweiDevice,华为,
90:81:2a,Apple,Apple,
90:81:58,Apple,Apple,
90:81:75,SamsungElect,Samsung / 三星,
90:84:0d,Apple,Apple,
90:86:9b,zte,中兴,
90:8c:43,Apple,Apple,
90:8d:6c,Apple,Apple,
90:94:97,HuaweiTechno,华为,
90:95:07,HuaweiTechno,华为,
90:97:d5,Espressif,Espressif / 乐鑫,
90:97:f3,SamsungElect,Samsung / 三星,
90:98:38,HuaweiDevice,华为,
90:9a:4a,TpLinkTechno,TP-Link,router
90:9b:6f,Apple,Apple,
90:9c:4a,Apple,Apple,
90:a2:5b,Apple,Apple,
90:a5:7d,HuaweiDevice,华为,
90:a5:af,HuaweiTechno,华为,
90:ac:6d,Apple,Apple,
90:ae:1b,TpLinkTechno,TP-Link,router
90:b0:ed,Apple,Apple,
90:b1:44,SamsungElect,Samsung / 三星,
90:b2:1f,Apple,Apple,
