# 家卫 · MAC 厂商（OUI）精简表
# 生成方式: python tools/build_oui_table.py --from wireshark
# 数据来源: https://www.wireshark.org/download/automated/data/manuf
# 过滤策略: 家庭 / 国产设备厂商白名单
# 字段: prefix,vendor,vendor_cn,device_hint
# 说明: device_hint 只在厂商几乎只做该品类时才填，其余留空 —— 不猜。
prefix,vendor,vendor_cn,device_hint
04:15:52,Apple,Apple,
04:18:0f,SamsungElect,Samsung / 三星,
04:18:92,HuaweiTechno,华为,
04:18:d6,Ubiquiti,Ubiquiti,router
04:1b:ba,SamsungElect,Samsung / 三星,
04:1d:c7,zte,中兴,
04:1e:64,Apple,Apple,
04:20:84,zte,中兴,
04:25:c5,HuaweiTechno,华为,
04:26:65,Apple,Apple,
04:27:58,HuaweiTechno,华为,
04:29:2e,SamsungElect,Samsung / 三星,
04:2e:c1,Apple,Apple,
04:33:1f,HuaweiDevice,华为,
04:33:89,HuaweiTechno,华为,
04:34:cf,Apple,Apple,
04:39:cb,QingdaoHaier,海尔,
04:41:a5,Apple,Apple,
04:42:1a,ASUSTekCOMPU,华硕,router
04:48:9a,Apple,Apple,
04:49:5d,HuaweiDevice,华为,
04:4a:6c,HuaweiTechno,华为,
04:4b:a5,MercuryCommu,水星 / Mercury,router
04:4b:b1,HuaweiDevice,华为,
04:4b:ed,Apple,Apple,
04:4f:4c,HuaweiTechno,华为,
04:52:f3,Apple,Apple,
04:54:53,Apple,Apple,
04:55:b8,HuaweiTechno,华为,
04:5d:4b,Sony,Sony / 索尼,
04:63:d0,HuaweiDevice,华为,
04:67:61,XiaomiMobile,小米,
04:68:65,Apple,Apple,
04:69:f8,Apple,Apple,
04:6e:cb,zte,中兴,
04:72:95,Apple,Apple,
04:72:ef,Apple,Apple,
04:74:9e,HuaweiTechno,华为,
04:75:03,HuaweiTechno,华为,
04:79:70,HuaweiTechno,华为,
04:79:75,HonorDevice,荣耀,
04:7a:0b,XiaomiElectr,小米,
04:7a:ae,HuaweiDevice,华为,
04:80:1a,HuaweiDevice,华为,
04:83:08,Espressif,Espressif / 乐鑫,
04:88:5f,HuaweiTechno,华为,
04:8c:16,HuaweiTechno,华为,
04:8c:9a,HuaweiDevice,华为,
04:92:26,ASUSTekCOMPU,华硕,router
04:95:73,zte,中兴,
04:99:b9,Apple,Apple,
04:99:bb,Apple,Apple,
04:9d:05,Apple,Apple,
04:9f:ca,HuaweiTechno,华为,
04:a1:51,Netgear,NETGEAR,router
04:a8:1c,HuaweiTechno,华为,
04:ab:08,SkyworthDigi,创维,tv
04:ae:47,XiaomiMobile,小米,
04:b0:e7,HuaweiTechno,华为,
04:b1:67,XiaomiCommun,小米,
04:b1:a1,SamsungElect,Samsung / 三星,
04:b2:47,Espressif,Espressif / 乐鑫,
04:b4:29,SamsungElect,Samsung / 三星,
04:b5:b2,Apple,Apple,
04:b9:e3,SamsungElect,Samsung / 三星,
04:ba:1c,HuaweiDevice,华为,
04:ba:8d,SamsungElect,Samsung / 三星,
04:bc:6d,Apple,Apple,
04:bd:70,HuaweiTechno,华为,
04:bd:bf,SamsungElect,Samsung / 三星,
04:be:58,HuaweiTechno,华为,
04:bf:d5,Apple,Apple,
04:c0:6f,HuaweiTechno,华为,
04:c1:d8,HuaweiDevice,华为,
04:c8:07,XiaomiCommun,小米,
04:c8:45,TPLink,TP-Link,router
04:c8:b0,Google,Google,speaker
04:c9:de,QingdaoHaier,海尔,
04:ca:ed,HuaweiTechno,华为,
04:cb:01,SamsungElect,Samsung / 三星,
04:cc:bc,HuaweiTechno,华为,
04:ce:09,SkyworthDigi,创维,tv
04:cf:8c,XIAOMIElectr,小米,
04:d1:3a,XiaomiCommun,小米,
04:d3:b5,HuaweiDevice,华为,
04:d3:cf,Apple,Apple,
04:d4:c4,ASUSTekCOMPU,华硕,router
04:d6:aa,SamsungElect,Samsung / 三星,
04:d9:f5,ASUSTekCOMPU,华硕,router
04:db:56,Apple,Apple,
04:e2:29,QingdaoHaier,海尔,
04:e4:b6,SamsungElect,Samsung / 三星,
04:e5:36,Apple,Apple,
04:e5:98,XiaomiCommun,小米,
04:e7:95,HuaweiTechno,华为,
04:ee:cd,HikvisionDig,海康威视,camera
04:f0:3e,HuaweiDevice,华为,
04:f1:3e,Apple,Apple,
04:f1:69,HuaweiDevice,华为,
04:f3:52,HuaweiTechno,华为,
04:f7:e4,Apple,Apple,
04:f9:38,HuaweiTechno,华为,
04:f9:f8,TpLinkTechno,TP-Link,router
04:fa:83,QingdaoHaier,海尔,
04:fe:31,SamsungElect,Samsung / 三星,
04:fe:8d,HuaweiTechno,华为,
04:ff:08,HuaweiDevice,华为,
08:00:07,Apple,Apple,
08:00:46,Sony,Sony / 索尼,
08:00:6f,PhilipsApeld,Signify / 飞利浦,bulb
08:02:05,HuaweiTechno,华为,
08:02:3c,SamsungElect,Samsung / 三星,
08:02:8e,Netgear,NETGEAR,router
08:08:c2,SamsungElect,Samsung / 三星,
08:10:93,SamsungElect,Samsung / 三星,
08:15:2f,SamsungElect,Samsung / 三星,
08:16:e3,HuaweiTechno,华为,
08:18:1a,zte,中兴,
08:19:a6,HuaweiTechno,华为,
08:1a:fd,HuaweiDevice,华为,
08:1c:6e,XiaomiCommun,小米,
08:1f:71,TpLinkTechno,TP-Link,router
08:21:ef,SamsungElect,Samsung / 三星,
08:23:c6,HuaweiTechno,华为,
08:24:0b,Apple,Apple,
08:25:25,XiaomiCommun,小米,
08:25:73,Apple,Apple,
08:27:6b,HuaweiDevice,华为,
08:2c:b6,Apple,Apple,
08:2e:36,HuaweiDevice,华为,
08:2f:e9,HuaweiTechno,华为,
08:31:8b,HuaweiTechno,华为,
08:31:a4,HuaweiDevice,华为,
08:36:c9,Netgear,NETGEAR,router
08:37:3d,SamsungElect,Samsung / 三星,
08:3a:8d,Espressif,Espressif / 乐鑫,
08:3a:f2,Espressif,Espressif / 乐鑫,
08:3b:c1,HikvisionDig,海康威视,camera
08:3d:88,SamsungElect,Samsung / 三星,
08:3f:bc,zte,中兴,
08:44:73,zte,中兴,
08:4f:0a,HuaweiTechno,华为,
08:4f:66,SkyworthDigi,创维,tv
08:51:04,HuaweiDevice,华为,
08:54:11,HikvisionDig,海康威视,camera
08:57:00,TpLinkTechno,TP-Link,router
08:5c:1b,HuaweiTechno,华为,
08:5d:53,Apple,Apple,
08:5d:dd,Mercury,水星 / Mercury,router
08:60:6e,ASUSTekCOMPU,华硕,router
08:60:83,zte,中兴,
08:62:02,Apple,Apple,
08:62:66,ASUSTekCOMPU,华硕,router
08:63:61,HuaweiTechno,华为,
08:65:18,Apple,Apple,
08:66:98,Apple,Apple,
08:67:4e,Hisensebroad,海信,tv
08:6d:41,Apple,Apple,
08:6e:9c,HuaweiDevice,华为,
08:70:45,Apple,Apple,
08:70:73,HuaweiTechno,华为,
08:74:02,Apple,Apple,
08:78:08,SamsungElect,Samsung / 三星,
08:79:8c,HuaweiTechno,华为,
08:7a:4c,HuaweiTechno,华为,
08:7c:43,HuaweiDevice,华为,
08:84:fb,HonorDevice,荣耀,
08:87:c7,Apple,Apple,
08:8b:c8,Google,Google,speaker
08:8c:2c,SamsungElect,Samsung / 三星,
08:8e:dc,Apple,Apple,
08:92:72,Espressif,Espressif / 乐鑫,
08:93:56,HuaweiTechno,华为,
08:94:ec,HuaweiDevice,华为,
08:95:42,Apple,Apple,
08:9a:c7,zte,中兴,
08:9e:08,Google,Google,speaker
08:9e:84,HuaweiTechno,华为,
08:a1:89,HikvisionDig,海康威视,camera
08:a5:df,SamsungElect,Samsung / 三星,
08:a6:f7,Espressif,Espressif / 乐鑫,
08:a8:42,HuaweiDevice,华为,
08:aa:89,zte,中兴,
08:ad:0a,Espressif,Espressif / 乐鑫,
08:ae:d6,SamsungElect,Samsung / 三星,
08:b3:39,XiaomiCommun,小米,
08:b3:d6,HuaweiDevice,华为,
08:b4:b1,Google,Google,speaker
08:b6:1f,Espressif,Espressif / 乐鑫,
08:bd:43,Netgear,NETGEAR,router
08:bf:a0,SamsungElect,Samsung / 三星,
08:bf:b8,ASUSTekCOMPU,华硕,router
08:c0:21,HuaweiTechno,华为,
08:c0:6c,HuaweiDevice,华为,
08:c5:e1,SamsungElect,Samsung / 三星,
08:c7:29,Apple,Apple,
08:c7:b5,Apple,Apple,
08:cc:81,HikvisionDig,海康威视,camera
08:d1:f9,Espressif,Espressif / 乐鑫,
08:d4:2b,SamsungElect,Samsung / 三星,
08:d9:45,HuaweiTechno,华为,
08:dd:82,HuaweiTechno,华为,
08:e0:21,HonorDevice,荣耀,
08:e6:3b,zte,中兴,
08:e6:4b,Apple,Apple,
08:e6:89,Apple,Apple,
08:e7:e5,HuaweiDevice,华为,
08:e8:4f,HuaweiTechno,华为,
08:eb:f6,HuaweiTechno,华为,
08:ec:a9,SamsungElect,Samsung / 三星,
08:ee:8b,SamsungElect,Samsung / 三星,
08:f4:58,HuaweiDevice,华为,
08:f4:ab,Apple,Apple,
08:f6:06,zte,中兴,
08:f6:9c,Apple,Apple,
08:f8:bc,Apple,Apple,
